,1 t2,2 xt,3 Sx,4 yt,5 Sy
59,4.767676767676768,-1.5021196922257682,-1.494158771773927,-1.0341337939953243,-1.0296029393335164
60,4.848484848484849,-1.4039325624975008,-1.3984485186567466,-1.104064770382376,-1.1018018014074114
61,4.92929292929293,-1.3006835496262596,-1.2980686340560208,-1.163688232746919,-1.163146545071891
62,5.01010101010101,-1.1935419057889174,-1.193911002308236,-1.2126312352158004,-1.2126040062565377
63,5.090909090909092,-1.0837033148086412,-1.0869009935489886,-1.250660295294725,-1.2495481028701967
64,5.171717171717172,-0.9723727802926491,-0.9780564910940531,-1.277682919810803,-1.2744774220692423
65,5.252525252525253,-0.8607475010195463,-0.8684112205062298,-1.293747001687062,-1.2880831428981692
66,5.333333333333334,-0.7499999999999992,-0.7589989073483192,-1.2990381056766578,-1.2910564444014714
67,5.414141414141414,-0.6412617690369404,-0.6508532771831249,-1.2938746945567519,-1.2840885056236435
68,5.494949494949496,-0.5356076818399665,-0.5450080555734463,-1.2787013797940125,-1.2678705056091792
69,5.575757575757576,-0.4340414159460283,-0.4424969680820875,-1.254080311824971,-1.2430936234025731
70,5.6565656565656575,-0.33748210707254594,-0.3443537402718472,-1.220680854346645,-1.2104490380483188
71,5.737373737373738,-0.2467524393491557,-0.2516120977055296,-1.1792677139180854,-1.1706279285909116
72,5.818181818181818,-0.16256835146603657,-0.16530576594593493,-1.1306877203016477,-1.124321474074845
73,5.8989898989899,-0.08553051251859065,-0.08646847055586382,-1.0758554739386168,-1.072220853544613
74,5.97979797979798,-0.01611769264321503,-0.0161339370981195,-1.0157380944229084,-1.0150172460447102
75,6.060606060606061,0.04531787711028468,0.04477541476092786,-0.9513393175309165,-0.953415939462928
76,6.141414141414142,0.09855309334371441,0.09630593889790562,-0.883683198067984,-0.8882450208787265
77,6.222222222222222,0.1434944880598843,0.1390028045030739,-0.8137976813493741,-0.8203958058915279
78,6.303030303030304,0.18017665983688907,0.17341530320730061,-0.7426983074598362,-0.7507601326505067
79,6.383838383838384,0.20875866604319127,0.20009272664145258,-0.6713723095126884,-0.6802298393048392
80,6.464646464646465,0.2295184464297494,0.2195843664363981,-0.6007633600069602,-0.6096967640036988
81,6.545454545454546,0.24284537997452904,0.23243951422300432,-0.5317572081773888,-0.5400527448962619
82,6.626262626262627,0.2492311067057379,0.23920746163213918,-0.4651684361301962,-0.4721896201317022
83,6.707070707070708,0.2492587739133895,0.24043750029467015,-0.4017285428038465,-0.40699922785919596
84,6.787878787878788,0.24359089122990904,0.236678921841465,-0.3420755426930017,-0.34537340622791746
85,6.868686868686869,0.23295600111711776,0.2284810179033912,-0.2867452411843671,-0.28820399338704095
86,6.94949494949495,0.21813438998552637,0.21639308011131658,-0.23616432068156196,-0.2363828274857429
87,7.030303030303031,0.19994308019319876,0.20096564715345483,-0.19064534189060742,-0.1907890804934893
88,7.111111111111112,0.1792203542855127,0.18280574479707795,-0.150383733180435,-0.1517281933507802
89,7.191919191919193,0.1568100698669211,0.1625987786730394,-0.11545680833260338,-0.1187095141476147
90,7.272727272727273,0.13354602633023793,0.14103592782583382,-0.08582481977833835,-0.09118375125312583
91,7.353535353535354,0.11023664326453385,0.11880837129995517,-0.061334021125711576,-0.06860161303644563
92,7.434343434343435,0.08765020474435982,0.09660728813989741,-0.04172167994329308,-0.05041380786670626
93,7.515151515151516,0.06650091396353747,0.07512385739015526,-0.02662294991927148,-0.0360710441130405
94,7.595959595959597,0.04743598897541583,0.05504925809522243,-0.015579481171166745,-0.025024030144580392
95,7.676767676767677,0.031024012861463817,0.037074669299593604,-0.008049619130844869,-0.016723474330458555
96,7.757575757575758,0.017744730754670496,0.021891270047762812,-0.0034200165302464714,-0.010620085039807228
97,7.838383838383839,0.007980462132617125,0.01019023938422392,-0.0010184599832096623,-0.006164570641758741
98,7.91919191919192,0.002009270056486699,0.0026627563534716847,-0.00012769286968987247,-0.0028076395054455645
99,8.0,0.0,0.0,-0.0,-1.3877787807814457e-17
